sentence,emotion
I was stunned because the door opened right as I reached for my keys late at night a few minutes ago; I did not see that coming at all.,suprise
just now my coach was taken aback since the gate changed to one right beside me late at night.,suprise
this evening I was caught off guard since my alarm failed but I still woke up early late at night.,suprise
just then the waiter brought dessert for free right before I left and the cashier felt in disbelief.,suprise
When I got an invite I never expected at home the cashier felt amazed and paused for a second.,suprise
my parcel arrived before I left the house late at night this afternoon; the doctor felt in disbelief immediately.,suprise
my doctor said the results were normal early in the morning right before I left; my teacher felt genuinely surprised immediately.,suprise
We were amazed when the door opened right as I reached for my keys this afternoon.,suprise
right at that moment my flight got upgraded at the gate right before I left and I felt amazed.,suprise
from one moment to the next the class topic matched exactly what I prepared today and my brother felt taken aback.,suprise
We were taken aback when the support team solved my issue in minutes today.,suprise
all of a sudden the song changed right when I thought of it right after I arrived and my colleague felt pleasantly surprised.,suprise
my brother felt amazed when the printer worked on the first attempt at home this morning; I had to read it twice to believe it.,suprise
I was surprised beyond words because the app crash disappeared after one restart at home right before I left; I needed a second to process it.,suprise
my roommate felt momentarily frozen after the road was empty during rush hour last night.,suprise
We were stunned when I got the very last ticket available this evening.,suprise
without warning the power returned right before my battery died this afternoon and my friend felt speechless.,suprise
my classmate felt wide-eyed when the gate changed to one right beside me in the store today; it felt like a plot twist in real life.,suprise
the update fixed every bug I had at school this evening; my dad felt momentarily frozen immediately.,suprise
in a split second the internet came back during my deadline this afternoon and my teacher felt in disbelief.,suprise
all of a sudden my phone rang and it was an old friend right after I arrived and my brother felt speechless.,suprise
We were taken aback when I found money in a coat I never use a few minutes ago.,suprise
right at that moment the website loaded instantly on a slow connection today and my cousin felt taken aback.,suprise
the doctor felt shocked after a hidden fee was refunded without asking right after I arrived.,suprise
We were wide-eyed when I got an invite I never expected this afternoon.,suprise
right after I arrived my cousin was surprised and curious since the deadline got extended by a week on the train.,suprise
my colleague felt totally surprised after I found a seat on a fully crowded train earlier.,suprise
for no reason I could see my manager felt genuinely surprised because I guessed the answer and got it right in the store; it felt like a plot twist in real life.,suprise
I was totally surprised because the rain stopped the moment I stepped outside at the station this morning; it completely changed my mood.,suprise
my cousin felt momentarily frozen after the taxi arrived in under a minute a few minutes ago.,suprise
my teacher felt wide-eyed when my parcel was waiting at my door this morning during the meeting just now; I looked around to make sure it was real.,suprise
my teacher felt speechless when the waiter brought dessert for free in the store just now; I was not prepared for that at all.,suprise
this afternoon my sister was wide-eyed since the package fit perfectly through the mailbox at home.,suprise
out of nowhere the waiter brought dessert for free this morning and my coach felt pleasantly surprised.,suprise
last night my sister was taken aback since a cat jumped onto my windowsill late at night.,suprise
I was taken aback because the support team solved my issue in minutes during the meeting right before I left; I did not see that coming at all.,suprise
our neighbor did not expect it at all: the app crash disappeared after one restart this morning and felt in disbelief.,suprise
for no reason I could see the bill was lower than I expected today and my classmate felt in disbelief.,suprise
as if by magic I found the answer at the top of the notes this afternoon and my dad felt startled.,suprise
right before I left my coach was totally surprised since I met someone from my hometown abroad early in the morning.,suprise
my roommate felt genuinely surprised after the door opened right as I reached for my keys a few minutes ago.,suprise
my code passed all tests on the first run late at night a few minutes ago; my classmate felt genuinely surprised immediately.,suprise
my brother felt speechless after the exam question was exactly what I revised earlier.,suprise
all of a sudden my roommate felt surprised and curious because my ticket number matched the draw at work; it felt like a plot twist in real life.,suprise
my brother felt surprised beyond words after I found a seat on a fully crowded train right after I arrived.,suprise
my friend felt momentarily frozen after a long queue suddenly split into two lines earlier.,suprise
last night my coach was stunned since my reminder popped up at exactly the right time before class.,suprise
the teacher canceled the surprise quiz late at night this morning; my friend felt surprised beyond words immediately.,suprise
today my manager was shocked since a stranger paid for my coffee early in the morning.,suprise
for no reason I could see an old photo reminded me of a forgotten trip a few minutes ago and the cashier felt speechless.,suprise
We were stunned when I got a callback the same day a few minutes ago.,suprise
We were speechless when I found the answer at the top of the notes last night.,suprise
last night my mom was surprised and curious since my old laptop started working again during the meeting.,suprise
I was totally surprised because the deadline got extended by a week in the store a few minutes ago; I needed a second to process it.,suprise
completely unexpectedly my order arrived exactly as I imagined it this morning and my roommate felt pleasantly surprised.,suprise
the weather cleared right before the event late at night last night; our neighbor felt wide-eyed immediately.,suprise
our neighbor felt wide-eyed when my old laptop started working again before class today; my jaw dropped for a second.,suprise
We were surprised beyond words when the system accepted my code on the first submit earlier.,suprise
a hidden fee was refunded without asking late at night this afternoon; my teacher felt startled immediately.,suprise
completely unexpectedly we felt taken aback because the bill was lower than I expected while waiting in line; for a moment I just froze.,suprise
my friend did not expect it at all: the lost file appeared in the backup folder this evening and felt genuinely surprised.,suprise
my coach did not expect it at all: my ticket number matched the draw this afternoon and felt in disbelief.,suprise
completely unexpectedly my parcel arrived before I left the house this morning and my colleague felt momentarily frozen.,suprise
a few minutes ago my friend was caught off guard since the class topic matched exactly what I prepared before class.,suprise
I was shocked because my presentation finished exactly on time on my way back this morning; it completely changed my mood.,suprise
a few minutes ago the cashier was startled since my parcel arrived before I left the house while waiting in line.,suprise
When I bumped into my childhood friend downtown while waiting in line my sister felt taken aback and paused for a second.,suprise
When the song changed right when I thought of it during the meeting my teammate felt startled and paused for a second.,suprise
my sister felt shocked after my package arrived two days early this morning.,suprise
right at that moment my teammate felt pleasantly surprised because my results were better than expected at the station; it felt like a plot twist in real life.,suprise
my brother felt stunned after the host called my name first right after I arrived.,suprise
my mom felt totally surprised after the gate changed to one right beside me just now.,suprise
I received a handwritten thank-you card before class earlier; the cashier felt totally surprised immediately.,suprise
our neighbor felt stunned when the door opened right as I reached for my keys during a busy afternoon just now; my jaw dropped for a second.,suprise
from one moment to the next my teacher felt wide-eyed because my favorite book was available at the library at work; for a moment I just froze.,suprise
the app error fixed itself after restart early in the morning right before I left; my brother felt stunned immediately.,suprise
the cafeteria served my favorite meal early in the morning right after I arrived; my teacher felt surprised beyond words immediately.,suprise
my mom felt in disbelief when my flight got upgraded at the gate early in the morning this afternoon; it completely changed my mood.,suprise
without warning I felt totally surprised because my old laptop started working again early in the morning; I looked around to make sure it was real.,suprise
We were amazed when I got a callback the same day a few minutes ago.,suprise
I was taken aback because I found a seat on a fully crowded train at the station right before I left; I looked around to make sure it was real.,suprise
We were caught off guard when a friend I missed sent me a long message right before I left.,suprise
from one moment to the next a stranger paid for my coffee a few minutes ago and my roommate felt shocked.,suprise
my sister felt surprised and curious after my coffee order was upgraded for free this morning.,suprise
When my flight got upgraded at the gate before class my brother felt amazed and paused for a second.,suprise
I was in disbelief because the app crash disappeared after one restart during the meeting right before I left; it completely changed my mood.,suprise
We were stunned when the update fixed every bug I had right before I left.,suprise
I bumped into my childhood friend downtown during a busy afternoon just now; my classmate felt pleasantly surprised immediately.,suprise
my classmate felt pleasantly surprised after my code passed all tests on the first run last night.,suprise
When I found a seat on a fully crowded train during a busy afternoon my brother felt stunned and paused for a second.,suprise
all of a sudden my classmate felt genuinely surprised because my parcel arrived before I left the house early in the morning; I just stood there in disbelief.,suprise
I was in disbelief because I got moved to a window seat before class this morning; I just stood there in disbelief.,suprise
the cashier felt pleasantly surprised after the class topic matched exactly what I prepared today.,suprise
for no reason I could see my name was called as the winner this afternoon and my dad felt wide-eyed.,suprise
this morning my teammate was momentarily frozen since I met someone from my hometown abroad at the station.,suprise
in a split second I got moved to a window seat right after I arrived and my teammate felt surprised beyond words.,suprise
I was momentarily frozen because the taxi arrived in under a minute in the store today; it caught me totally off guard.,suprise
my mom did not expect it at all: my reservation was upgraded to a better table this afternoon and felt totally surprised.,suprise
We were genuinely surprised when the noisy street turned completely quiet this morning.,suprise
I was taken aback because the queue moved faster than expected on the train earlier; I just stood there in disbelief.,suprise
as if by magic the app crash disappeared after one restart this afternoon and the doctor felt stunned.,suprise
we did not expect it at all: I won a giveaway I forgot I entered a few minutes ago and felt amazed.,suprise
this morning my roommate was caught off guard since I got an invite I never expected on my way back.,suprise
When a random email offered me a scholarship while waiting in line my classmate felt startled and paused for a second.,suprise
I was pleasantly surprised because my team finished the project a week early at work today; I needed a second to process it.,suprise
my interview started with a friendly joke in the store last night; my dad felt speechless immediately.,suprise
When the website loaded instantly on a slow connection on the train my sister felt genuinely surprised and paused for a second.,suprise
my coach felt in disbelief after a friend I missed sent me a long message earlier.,suprise
out of nowhere our neighbor felt shocked because an old photo reminded me of a forgotten trip at school; it felt like a plot twist in real life.,suprise
We were genuinely surprised when the manager approved my idea instantly last night.,suprise
out of nowhere our neighbor felt speechless because the lost file appeared in the backup folder while waiting in line; I looked around to make sure it was real.,suprise
When my name was called as the winner while waiting in line my friend felt caught off guard and paused for a second.,suprise
I was genuinely surprised because I discovered my favorite snack at a discount at home earlier; I just stood there in disbelief.,suprise
my friend did not expect it at all: my favorite book was available at the library this evening and felt stunned.,suprise
When the noisy street turned completely quiet on the train the cashier felt caught off guard and paused for a second.,suprise
a cat jumped onto my windowsill before class this morning; my manager felt surprised beyond words immediately.,suprise
my colleague did not expect it at all: the class topic matched exactly what I prepared just now and felt wide-eyed.,suprise
We were speechless when my code passed all tests on the first run just now.,suprise
this morning my dad was shocked since my refund was processed the same day on my way back.,suprise
just then the exam question was exactly what I revised last night and my roommate felt shocked.,suprise
as if by magic my friend felt in disbelief because the app crash disappeared after one restart during the meeting; I laughed because it felt unreal.,suprise
I was startled because the call connected immediately without waiting at the station right after I arrived; I did not see that coming at all.,suprise
earlier my cousin was taken aback since my phone rang and it was an old friend early in the morning.,suprise
from one moment to the next my cousin felt shocked because I got a callback the same day late at night; I did not see that coming at all.,suprise
last night my cousin was speechless since the team selected my proposal unanimously at the station.,suprise
my classmate felt wide-eyed after a long queue suddenly split into two lines earlier.,suprise
all of a sudden the doctor felt startled because I got moved to a window seat in the store; I laughed because it felt unreal.,suprise
We were wide-eyed when I won a giveaway I forgot I entered earlier.,suprise
without warning the app crash disappeared after one restart right before I left and our neighbor felt genuinely surprised.,suprise
the doctor felt genuinely surprised after the maintenance issue resolved itself overnight right before I left.,suprise
right at that moment my classmate felt shocked because my parcel was waiting at my door this morning in the store; I just stood there in disbelief.,suprise
the door opened right as I reached for my keys on the train this morning; the doctor felt caught off guard immediately.,suprise
right at that moment my interview started with a friendly joke right before I left and my sister felt in disbelief.,suprise
the doctor felt wide-eyed when my flight got upgraded at the gate on the train this afternoon; I laughed because it felt unreal.,suprise
my manager did not expect it at all: my package arrived two days early this evening and felt pleasantly surprised.,suprise
just now my dad was in disbelief since I bumped into my childhood friend downtown in the store.,suprise
the call connected immediately without waiting early in the morning last night; the cashier felt taken aback immediately.,suprise
my cousin felt speechless after the queue moved faster than expected right after I arrived.,suprise
my mom did not expect it at all: the venue was much better than expected right before I left and felt taken aback.,suprise
all of a sudden my cousin felt stunned because a random email offered me a scholarship on the train; I looked around to make sure it was real.,suprise
just now my cousin was stunned since an old photo reminded me of a forgotten trip at home.,suprise
When my train showed up on time for once at the station I felt pleasantly surprised and paused for a second.,suprise
my friend felt shocked after my team finished the project a week early earlier.,suprise
my brother did not expect it at all: a random email offered me a scholarship this afternoon and felt surprised and curious.,suprise
last night my roommate was surprised and curious since the lights came back on by themselves at work.,suprise
the game ended with a dramatic comeback during lunch this morning; my brother felt wide-eyed immediately.,suprise
completely unexpectedly I found money in a coat I never use right after I arrived and my teammate felt shocked.,suprise
right before I left my friend was wide-eyed since the website loaded instantly on a slow connection at work.,suprise
We were pleasantly surprised when my alarm failed but I still woke up early earlier.,suprise
the maintenance issue resolved itself overnight on my way back earlier; my classmate felt startled immediately.,suprise
right at that moment my cousin felt surprised beyond words because a friend I missed sent me a long message on my way back; it left me blinking in confusion.,suprise
my colleague felt pleasantly surprised after my favorite book was available at the library today.,suprise
When the power returned right before my battery died before class my friend felt genuinely surprised and paused for a second.,suprise
We were totally surprised when my package arrived two days early this afternoon.,suprise
just now my colleague was surprised beyond words since someone remembered my birthday before I did at school.,suprise
my dad felt surprised beyond words when my package arrived two days early at work earlier; I did not see that coming at all.,suprise
in a split second my parcel arrived exactly at my break time this evening and my cousin felt taken aback.,suprise
out of nowhere the host called my name first earlier and the cashier felt totally surprised.,suprise
our neighbor felt totally surprised after I found my keys in the first place I checked just now.,suprise
When I won a giveaway I forgot I entered at school my cousin felt genuinely surprised and paused for a second.,suprise
We were totally surprised when my alarm failed but I still woke up early earlier.,suprise
just then the security check was unexpectedly quick just now and my dad felt genuinely surprised.,suprise
When the game ended with a dramatic comeback at the station my roommate felt momentarily frozen and paused for a second.,suprise
my mom felt stunned after my phone rang and it was an old friend a few minutes ago.,suprise
When the store had exactly one item left in my size during a busy afternoon my cousin felt shocked and paused for a second.,suprise
earlier we was caught off guard since the song changed right when I thought of it before class.,suprise
When the exam question was exactly what I revised before class our neighbor felt wide-eyed and paused for a second.,suprise
When the weather app was wrong and the day stayed sunny on the train the cashier felt stunned and paused for a second.,suprise
When the host called my name first at school our neighbor felt amazed and paused for a second.,suprise
my colleague did not expect it at all: I found my keys in the first place I checked last night and felt surprised and curious.,suprise
to my surprise the team selected my proposal unanimously this evening and my roommate felt amazed.,suprise
all of a sudden my brother felt speechless because my side project got featured online late at night; I was not prepared for that at all.,suprise
from one moment to the next the doctor felt genuinely surprised because I met someone from my hometown abroad on my way back; I had to read it twice to believe it.,suprise
without warning my coffee order was upgraded for free this afternoon and my dad felt genuinely surprised.,suprise
When I found money in a coat I never use on the train my cousin felt caught off guard and paused for a second.,suprise
right before I left I was wide-eyed since the waiter brought dessert for free during the meeting.,suprise
my friend did not expect it at all: I discovered my favorite snack at a discount just now and felt pleasantly surprised.,suprise
I was stunned because the call connected immediately without waiting at the station this morning; I stared at it for a few seconds.,suprise
right before I left my roommate was totally surprised since the room went silent right before the announcement during a busy afternoon.,suprise
We were in disbelief when an old photo reminded me of a forgotten trip today.,suprise
without warning my cousin felt speechless because the road was empty during rush hour at the station; I stared at it for a few seconds.,suprise
When I won a giveaway I forgot I entered before class my cousin felt amazed and paused for a second.,suprise
from one moment to the next the road was empty during rush hour right before I left and my brother felt wide-eyed.,suprise
my brother did not expect it at all: the taxi arrived in under a minute earlier and felt wide-eyed.,suprise
We were shocked when I won a giveaway I forgot I entered right after I arrived.,suprise
as if by magic the queue moved faster than expected just now and my teacher felt wide-eyed.,suprise
I was taken aback because the road was empty during rush hour early in the morning a few minutes ago; I did not see that coming at all.,suprise
all of a sudden the gate changed to one right beside me a few minutes ago and my roommate felt shocked.,suprise
earlier my roommate was wide-eyed since my reservation was upgraded to a better table at the station.,suprise
When the weather app was wrong and the day stayed sunny on my way back our neighbor felt totally surprised and paused for a second.,suprise
When I found money in a coat I never use at home my teammate felt amazed and paused for a second.,suprise
completely unexpectedly we felt momentarily frozen because I found my keys in the first place I checked during lunch; I needed a second to process it.,suprise
the doctor did not expect it at all: the store clerk remembered my previous visit this afternoon and felt totally surprised.,suprise
today my cousin was surprised and curious since the website loaded instantly on a slow connection during the meeting.,suprise
right at that moment our neighbor felt caught off guard because I was offered help before I asked while waiting in line; I did not see that coming at all.,suprise
we felt wide-eyed when the website loaded instantly on a slow connection during a busy afternoon just now; I was not prepared for that at all.,suprise
out of nowhere my name was called as the winner earlier and my coach felt pleasantly surprised.,suprise
the cashier felt shocked after the manager approved my idea instantly this evening.,suprise
When the meeting ended in ten minutes during the meeting my coach felt pleasantly surprised and paused for a second.,suprise
without warning the teacher canceled the surprise quiz earlier and my sister felt pleasantly surprised.,suprise
I was wide-eyed because my order arrived exactly as I imagined it during lunch right before I left; it left me blinking in confusion.,suprise
we felt genuinely surprised when my results were better than expected early in the morning just now; I just stood there in disbelief.,suprise
I was surprised and curious because the security check was unexpectedly quick on the train earlier; it left me blinking in confusion.,suprise
We were wide-eyed when my presentation finished exactly on time last night.,suprise
We were in disbelief when the final score changed in the last second right after I arrived.,suprise
out of nowhere the server recovered before anyone noticed a few minutes ago and my colleague felt totally surprised.,suprise
We were wide-eyed when a stranger paid for my coffee right after I arrived.,suprise
We were taken aback when I found the answer at the top of the notes right after I arrived.,suprise
my brother felt shocked after I received unexpected good news this morning.,suprise
my code passed all tests on the first run during lunch this evening; I felt pleasantly surprised immediately.,suprise
my cousin felt momentarily frozen after I found a seat on a fully crowded train today.,suprise
my cousin did not expect it at all: I got moved to a window seat right before I left and felt totally surprised.,suprise
the doctor felt surprised and curious after I was offered help before I asked right before I left.,suprise
When the support team solved my issue in minutes in the store my mom felt caught off guard and paused for a second.,suprise
completely unexpectedly my interview started with a friendly joke just now and my teammate felt amazed.,suprise
When I got moved to a window seat early in the morning my colleague felt surprised and curious and paused for a second.,suprise
as if by magic a long queue suddenly split into two lines earlier and my sister felt in disbelief.,suprise
my dad did not expect it at all: a random email offered me a scholarship just now and felt genuinely surprised.,suprise
to my surprise my order arrived exactly as I imagined it right before I left and my colleague felt momentarily frozen.,suprise
all of a sudden the team selected my proposal unanimously this evening and my brother felt genuinely surprised.,suprise
my cousin felt caught off guard when my favorite book was available at the library at school a few minutes ago; for a moment I just froze.,suprise
When I received a handwritten thank-you card at work my colleague felt surprised beyond words and paused for a second.,suprise
my classmate did not expect it at all: I found a seat on a fully crowded train last night and felt taken aback.,suprise
When my phone rang and it was an old friend at school my dad felt surprised and curious and paused for a second.,suprise
I got a callback the same day during a busy afternoon this afternoon; my coach felt pleasantly surprised immediately.,suprise
our neighbor felt surprised and curious when someone remembered my birthday before I did during a busy afternoon last night; it caught me totally off guard.,suprise
I felt wide-eyed when the printer worked on the first attempt at the station last night; I had to read it twice to believe it.,suprise
right before I left my coach was surprised and curious since the website loaded instantly on a slow connection during a busy afternoon.,suprise
just now my mom was totally surprised since the internet came back during my deadline late at night.,suprise
out of nowhere I got the very last ticket available right after I arrived and my manager felt totally surprised.,suprise
my favorite book was available at the library during a busy afternoon a few minutes ago; my manager felt surprised and curious immediately.,suprise
I was startled because the manager approved my idea instantly on the train this afternoon; I had to read it twice to believe it.,suprise
just now the doctor was amazed since the lights came back on by themselves at home.,suprise
completely unexpectedly I found the answer at the top of the notes last night and the doctor felt genuinely surprised.,suprise
When the maintenance issue resolved itself overnight in the store my teammate felt stunned and paused for a second.,suprise
my cousin felt stunned after the gate changed to one right beside me earlier.,suprise
We were taken aback when my results were better than expected right after I arrived.,suprise
When I found a seat on a fully crowded train early in the morning my classmate felt surprised beyond words and paused for a second.,suprise
my side project got featured online at the station this morning; my friend felt in disbelief immediately.,suprise
We were surprised and curious when the waiter brought dessert for free right after I arrived.,suprise
I was momentarily frozen because the lost file appeared in the backup folder during the meeting this morning; it left me blinking in confusion.,suprise
the final score changed in the last second at work just now; my colleague felt taken aback immediately.,suprise
my cousin did not expect it at all: I was offered help before I asked just now and felt wide-eyed.,suprise
in a split second a hidden fee was refunded without asking this evening and I felt momentarily frozen.,suprise
We were totally surprised when my friend showed up with a gift for no reason right before I left.,suprise
my friend felt amazed when the exam question was exactly what I revised on the train this afternoon; I laughed because it felt unreal.,suprise
the cashier felt momentarily frozen after my side project got featured online a few minutes ago.,suprise
without warning my coach felt momentarily frozen because the host called my name first at school; I just stood there in disbelief.,suprise
I was genuinely surprised because my flight got upgraded at the gate during a busy afternoon today; I did not see that coming at all.,suprise
my dad felt genuinely surprised when a long queue suddenly split into two lines during lunch right before I left; it left me blinking in confusion.,suprise
my teammate felt totally surprised after I was offered help before I asked this evening.,suprise
